regime,start,end,days
Down Growth / Neutral/Mixed Inflation,2019-05-24,2019-05-27,2
Slowdown / Deflationary Slowdown,2019-05-28,2019-08-26,65
Slowdown / Deflationary Slowdown + Stress Overlay,2019-08-27,2019-09-06,9
Slowdown / Deflationary Slowdown,2019-09-09,2019-09-09,1
Down Growth / Neutral/Mixed Inflation,2019-09-10,2019-10-03,18
Slowdown / Deflationary Slowdown,2019-10-04,2019-10-28,17
Down Growth / Neutral/Mixed Inflation,2019-10-29,2019-11-01,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-11-04,2020-01-02,44
Neutral/Mixed Growth / Up Inflation,2020-01-03,2020-01-10,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-01-13,2020-02-03,16
Neutral/Mixed Growth / Down Inflation,2020-02-04,2020-02-27,18
Slowdown / Deflationary Slowdown,2020-02-28,2020-02-28,1
Slowdown / Deflationary Slowdown + Stress Overlay,2020-03-02,2020-04-21,37
Slowdown / Deflationary Slowdown,2020-04-22,2020-06-05,33
Neutral/Mixed Growth / Down Inflation,2020-06-08,2020-06-16,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-06-17,2020-07-28,30
Neutral/Mixed Growth / Up Inflation,2020-07-29,2020-08-14,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-08-17,2020-11-02,56
Neutral/Mixed Growth / Down Inflation,2020-11-03,2020-11-27,19
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-11-30,2021-01-26,42
Goldilocks / Expansion,2021-01-27,2021-01-28,2
Reflation,2021-01-29,2021-02-03,4
Neutral/Mixed Growth / Up Inflation,2021-02-04,2021-02-18,11
Reflation,2021-02-19,2021-02-24,4
Goldilocks / Expansion,2021-02-25,2021-03-08,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-03-09,2021-04-28,37
Goldilocks / Expansion,2021-04-29,2021-05-05,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-05-06,2021-05-12,5
Goldilocks / Expansion,2021-05-13,2021-06-17,26
Reflation,2021-06-18,2021-08-09,37
Goldilocks / Expansion,2021-08-10,2021-09-22,32
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-09-23,2021-10-12,14
Neutral/Mixed Growth / Up Inflation,2021-10-13,2021-11-02,15
Reflation,2021-11-03,2021-12-01,21
Goldilocks / Expansion,2021-12-02,2021-12-03,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-12-06,2021-12-29,18
Goldilocks / Expansion,2021-12-30,2022-01-10,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-01-11,2022-02-16,27
Neutral/Mixed Growth / Up Inflation,2022-02-17,2022-07-05,99
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-07-06,2022-08-18,32
Goldilocks / Expansion,2022-08-19,2022-08-25,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-08-26,2023-07-05,224
Goldilocks / Expansion,2023-07-06,2023-07-27,16
Reflation,2023-07-28,2023-08-25,21
Neutral/Mixed Growth / Up Inflation,2023-08-28,2023-11-03,50
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-11-06,2024-01-24,58
Goldilocks / Expansion,2024-01-25,2024-02-20,19
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-02-21,2024-03-07,12
Neutral/Mixed Growth / Up Inflation,2024-03-08,2024-06-06,65
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-06-07,2024-12-04,129
Goldilocks / Expansion,2024-12-05,2024-12-05,1
Reflation,2024-12-06,2024-12-20,11
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-12-23,2025-01-15,18
Neutral/Mixed Growth / Up Inflation,2025-01-16,2025-03-13,41
Down Growth / Neutral/Mixed Inflation,2025-03-14,2025-03-20,5
Stagflation-like,2025-03-21,2025-04-07,12
Stagflation-like + Stress Overlay,2025-04-08,2025-04-08,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2025-04-09,2025-04-24,12
Down Growth / Neutral/Mixed Inflation,2025-04-25,2025-05-15,15
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-05-16,2025-06-18,24
Neutral/Mixed Growth / Up Inflation,2025-06-19,2025-06-26,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-06-27,2025-07-01,3
Goldilocks / Expansion,2025-07-02,2025-07-07,4
Reflation,2025-07-08,2025-08-04,20
Neutral/Mixed Growth / Up Inflation,2025-08-05,2025-08-11,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-08-12,2025-08-27,12
Neutral/Mixed Growth / Up Inflation,2025-08-28,2025-09-08,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-09-09,2026-01-28,102
Neutral/Mixed Growth / Up Inflation,2026-01-29,2026-03-23,38
Stagflation-like,2026-03-24,2026-04-16,18
Neutral/Mixed Growth / Up Inflation,2026-04-17,2026-05-05,13
