regime,start,end,days
Neutral/Mixed Growth / Neutral/Mixed Inflation,2015-10-23,2015-10-23,1
Slowdown / Deflationary Slowdown,2015-10-26,2015-10-27,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2015-10-28,2015-11-17,15
Goldilocks / Expansion,2015-11-18,2015-11-23,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2015-11-24,2015-11-25,2
Neutral/Mixed Growth / Down Inflation,2015-11-26,2015-11-26,1
Goldilocks / Expansion,2015-11-27,2015-11-27,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2015-11-30,2015-12-01,2
Neutral/Mixed Growth / Down Inflation,2015-12-02,2015-12-02,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2015-12-03,2015-12-04,2
Neutral/Mixed Growth / Down Inflation,2015-12-07,2015-12-09,3
Neutral/Mixed Growth / Down Inflation + Stress Overlay,2015-12-10,2015-12-10,1
Slowdown / Deflationary Slowdown + Stress Overlay,2015-12-11,2015-12-14,2
Neutral/Mixed Growth / Down Inflation + Stress Overlay,2015-12-15,2015-12-23,7
Goldilocks / Expansion + Stress Overlay,2015-12-24,2015-12-24,1
Goldilocks / Expansion,2015-12-25,2015-12-25,1
Neutral/Mixed Growth / Down Inflation,2015-12-28,2016-01-04,6
Slowdown / Deflationary Slowdown,2016-01-05,2016-01-05,1
Slowdown / Deflationary Slowdown + Stress Overlay,2016-01-06,2016-03-02,41
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2016-03-03,2016-03-03,1
Down Growth / Neutral/Mixed Inflation,2016-03-04,2016-03-15,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-03-16,2016-03-18,3
Down Growth / Neutral/Mixed Inflation,2016-03-21,2016-03-21,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-03-22,2016-03-22,1
Down Growth / Neutral/Mixed Inflation,2016-03-23,2016-03-30,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-03-31,2016-04-07,6
Neutral/Mixed Growth / Up Inflation,2016-04-08,2016-04-12,3
Reflation,2016-04-13,2016-05-13,23
Neutral/Mixed Growth / Up Inflation,2016-05-16,2016-05-16,1
Reflation,2016-05-17,2016-05-18,2
Neutral/Mixed Growth / Up Inflation,2016-05-19,2016-05-19,1
Reflation,2016-05-20,2016-05-26,5
Neutral/Mixed Growth / Up Inflation,2016-05-27,2016-06-13,12
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-06-14,2016-06-17,4
Neutral/Mixed Growth / Up Inflation,2016-06-20,2016-06-23,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-06-24,2016-06-24,1
Down Growth / Neutral/Mixed Inflation,2016-06-27,2016-06-27,1
Stagflation-like + Stress Overlay,2016-06-28,2016-06-28,1
Neutral/Mixed Growth / Up Inflation + Stress Overlay,2016-06-29,2016-06-30,2
Neutral/Mixed Growth / Up Inflation,2016-07-01,2016-07-06,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-07-07,2016-08-04,21
Goldilocks / Expansion,2016-08-05,2016-08-18,10
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-08-19,2016-09-06,13
Goldilocks / Expansion,2016-09-07,2016-09-19,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-09-20,2016-09-20,1
Goldilocks / Expansion,2016-09-21,2016-10-10,14
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-10-11,2016-10-24,10
Neutral/Mixed Growth / Up Inflation,2016-10-25,2016-10-25,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-10-26,2016-10-26,1
Neutral/Mixed Growth / Up Inflation,2016-10-27,2016-10-28,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-10-31,2016-11-08,7
Goldilocks / Expansion,2016-11-09,2016-11-30,16
Reflation,2016-12-01,2016-12-05,3
Goldilocks / Expansion,2016-12-06,2016-12-08,3
Reflation,2016-12-09,2016-12-16,6
Goldilocks / Expansion,2016-12-19,2016-12-22,4
Reflation,2016-12-23,2016-12-23,1
Goldilocks / Expansion,2016-12-26,2017-01-30,26
Reflation,2017-01-31,2017-02-03,4
Goldilocks / Expansion,2017-02-06,2017-02-07,2
Reflation,2017-02-08,2017-02-15,6
Goldilocks / Expansion,2017-02-16,2017-02-17,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-02-20,2017-02-20,1
Goldilocks / Expansion,2017-02-21,2017-02-27,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-02-28,2017-02-28,1
Goldilocks / Expansion,2017-03-01,2017-03-02,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-03-03,2017-03-29,19
Goldilocks / Expansion,2017-03-30,2017-03-30,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-03-31,2017-06-20,58
Neutral/Mixed Growth / Down Inflation,2017-06-21,2017-06-21,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-06-22,2017-07-05,10
Neutral/Mixed Growth / Down Inflation,2017-07-06,2017-07-07,2
Goldilocks / Expansion,2017-07-10,2017-07-17,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-07-18,2017-07-18,1
Goldilocks / Expansion,2017-07-19,2017-07-19,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-07-20,2017-09-15,42
Neutral/Mixed Growth / Up Inflation,2017-09-18,2017-09-18,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-09-19,2017-10-02,10
Goldilocks / Expansion,2017-10-03,2017-10-03,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-10-04,2017-10-26,17
Goldilocks / Expansion,2017-10-27,2017-10-27,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-10-30,2017-10-30,1
Goldilocks / Expansion,2017-10-31,2017-10-31,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-11-01,2017-11-03,3
Goldilocks / Expansion,2017-11-06,2017-11-08,3
Neutral/Mixed Growth / Up Inflation,2017-11-09,2017-11-09,1
Reflation,2017-11-10,2017-11-10,1
Neutral/Mixed Growth / Up Inflation,2017-11-13,2017-11-13,1
Goldilocks / Expansion,2017-11-14,2017-11-23,8
Reflation,2017-11-24,2017-11-27,2
Goldilocks / Expansion,2017-11-28,2018-01-02,26
Reflation,2018-01-03,2018-01-04,2
Goldilocks / Expansion,2018-01-05,2018-01-08,2
Reflation,2018-01-09,2018-01-10,2
Goldilocks / Expansion,2018-01-11,2018-01-11,1
Reflation,2018-01-12,2018-01-18,5
Goldilocks / Expansion,2018-01-19,2018-01-19,1
Reflation,2018-01-22,2018-01-24,3
Goldilocks / Expansion,2018-01-25,2018-01-25,1
Reflation,2018-01-26,2018-01-26,1
Goldilocks / Expansion,2018-01-29,2018-02-06,7
Goldilocks / Expansion + Stress Overlay,2018-02-07,2018-02-07,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2018-02-08,2018-02-08,1
Goldilocks / Expansion + Stress Overlay,2018-02-09,2018-02-22,10
Goldilocks / Expansion,2018-02-23,2018-03-21,19
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-03-22,2018-05-07,33
Goldilocks / Expansion,2018-05-08,2018-05-08,1
Reflation,2018-05-09,2018-05-09,1
Neutral/Mixed Growth / Up Inflation,2018-05-10,2018-05-11,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-05-14,2018-06-13,23
Goldilocks / Expansion,2018-06-14,2018-06-14,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-06-15,2018-06-18,2
Goldilocks / Expansion,2018-06-19,2018-06-20,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-06-21,2018-06-21,1
Goldilocks / Expansion,2018-06-22,2018-06-25,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-06-26,2018-06-27,2
Goldilocks / Expansion,2018-06-28,2018-06-28,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-06-29,2018-07-06,6
Goldilocks / Expansion,2018-07-09,2018-07-09,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-07-10,2018-07-24,11
Goldilocks / Expansion,2018-07-25,2018-07-26,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-07-27,2018-08-14,13
Neutral/Mixed Growth / Down Inflation,2018-08-15,2018-08-16,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-08-17,2018-09-21,26
Goldilocks / Expansion,2018-09-24,2018-10-01,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-10-02,2018-10-02,1
Goldilocks / Expansion,2018-10-03,2018-10-03,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-10-04,2018-10-10,5
Down Growth / Neutral/Mixed Inflation,2018-10-11,2018-10-11,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-10-12,2018-10-12,1
Down Growth / Neutral/Mixed Inflation,2018-10-15,2018-10-15,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-10-16,2018-10-17,2
Down Growth / Neutral/Mixed Inflation,2018-10-18,2018-10-25,6
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2018-10-26,2018-11-08,10
Down Growth / Neutral/Mixed Inflation,2018-11-09,2018-11-12,2
Slowdown / Deflationary Slowdown,2018-11-13,2018-11-20,6
Slowdown / Deflationary Slowdown + Stress Overlay,2018-11-21,2018-11-27,5
Slowdown / Deflationary Slowdown,2018-11-28,2018-12-05,6
Slowdown / Deflationary Slowdown + Stress Overlay,2018-12-06,2019-01-18,32
Neutral/Mixed Growth / Down Inflation + Stress Overlay,2019-01-21,2019-01-21,1
Slowdown / Deflationary Slowdown + Stress Overlay,2019-01-22,2019-01-23,2
Neutral/Mixed Growth / Down Inflation + Stress Overlay,2019-01-24,2019-01-24,1
Neutral/Mixed Growth / Down Inflation,2019-01-25,2019-01-25,1
Slowdown / Deflationary Slowdown,2019-01-28,2019-02-06,8
Neutral/Mixed Growth / Down Inflation,2019-02-07,2019-02-07,1
Slowdown / Deflationary Slowdown,2019-02-08,2019-02-08,1
Neutral/Mixed Growth / Down Inflation,2019-02-11,2019-02-14,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-02-15,2019-03-13,19
Goldilocks / Expansion,2019-03-14,2019-03-18,3
Reflation,2019-03-19,2019-03-22,4
Goldilocks / Expansion,2019-03-25,2019-03-29,5
Reflation,2019-04-01,2019-04-02,2
Goldilocks / Expansion,2019-04-03,2019-04-08,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-04-09,2019-04-18,8
Goldilocks / Expansion,2019-04-19,2019-04-23,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-04-24,2019-04-25,2
Goldilocks / Expansion,2019-04-26,2019-04-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-04-29,2019-05-10,10
Down Growth / Neutral/Mixed Inflation,2019-05-13,2019-05-13,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-05-14,2019-05-17,4
Down Growth / Neutral/Mixed Inflation,2019-05-20,2019-05-20,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-05-21,2019-05-21,1
Down Growth / Neutral/Mixed Inflation,2019-05-22,2019-05-24,3
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2019-05-27,2019-05-30,4
Slowdown / Deflationary Slowdown + Stress Overlay,2019-05-31,2019-06-18,13
Neutral/Mixed Growth / Down Inflation + Stress Overlay,2019-06-19,2019-06-19,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2019-06-20,2019-06-24,3
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2019-06-25,2019-06-27,3
Slowdown / Deflationary Slowdown + Stress Overlay,2019-06-28,2019-06-28,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2019-07-01,2019-07-01,1
Slowdown / Deflationary Slowdown + Stress Overlay,2019-07-02,2019-07-02,1
Slowdown / Deflationary Slowdown,2019-07-03,2019-07-09,5
Down Growth / Neutral/Mixed Inflation,2019-07-10,2019-07-15,4
Slowdown / Deflationary Slowdown,2019-07-16,2019-07-23,6
Down Growth / Neutral/Mixed Inflation,2019-07-24,2019-07-24,1
Slowdown / Deflationary Slowdown,2019-07-25,2019-07-29,3
Down Growth / Neutral/Mixed Inflation,2019-07-30,2019-07-31,2
Slowdown / Deflationary Slowdown,2019-08-01,2019-08-02,2
Slowdown / Deflationary Slowdown + Stress Overlay,2019-08-05,2019-08-19,11
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2019-08-20,2019-08-20,1
Slowdown / Deflationary Slowdown + Stress Overlay,2019-08-21,2019-08-26,4
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2019-08-27,2019-08-28,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2019-08-29,2019-08-29,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2019-08-30,2019-09-09,7
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2019-09-10,2019-09-13,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-09-16,2019-09-16,1
Down Growth / Neutral/Mixed Inflation,2019-09-17,2019-10-01,11
Slowdown / Deflationary Slowdown,2019-10-02,2019-10-02,1
Slowdown / Deflationary Slowdown + Stress Overlay,2019-10-03,2019-10-10,6
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2019-10-11,2019-10-24,10
Down Growth / Neutral/Mixed Inflation,2019-10-25,2019-10-25,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-10-28,2019-11-08,10
Goldilocks / Expansion,2019-11-11,2019-11-12,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-11-13,2019-12-19,27
Goldilocks / Expansion,2019-12-20,2019-12-20,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-12-23,2019-12-23,1
Goldilocks / Expansion,2019-12-24,2019-12-25,2
Reflation,2019-12-26,2020-01-07,9
Goldilocks / Expansion,2020-01-08,2020-01-09,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-01-10,2020-01-10,1
Goldilocks / Expansion,2020-01-13,2020-01-13,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-01-14,2020-01-14,1
Goldilocks / Expansion,2020-01-15,2020-01-21,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-01-22,2020-01-30,7
Neutral/Mixed Growth / Down Inflation,2020-01-31,2020-02-05,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-02-06,2020-02-06,1
Neutral/Mixed Growth / Down Inflation,2020-02-07,2020-02-11,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-02-12,2020-02-21,8
Slowdown / Deflationary Slowdown,2020-02-24,2020-02-24,1
Slowdown / Deflationary Slowdown + Stress Overlay,2020-02-25,2020-05-25,65
Neutral/Mixed Growth / Down Inflation,2020-05-26,2020-06-03,7
Goldilocks / Expansion,2020-06-04,2020-07-16,31
Reflation,2020-07-17,2020-07-27,7
Neutral/Mixed Growth / Up Inflation,2020-07-28,2020-07-28,1
Reflation,2020-07-29,2020-08-20,17
Goldilocks / Expansion,2020-08-21,2020-08-21,1
Reflation,2020-08-24,2020-08-26,3
Goldilocks / Expansion,2020-08-27,2020-09-02,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-09-03,2020-09-08,4
Goldilocks / Expansion,2020-09-09,2020-09-09,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-09-10,2020-12-03,61
Goldilocks / Expansion,2020-12-04,2020-12-04,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-12-07,2020-12-07,1
Goldilocks / Expansion,2020-12-08,2020-12-09,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-12-10,2020-12-14,3
Goldilocks / Expansion,2020-12-15,2020-12-29,11
Reflation,2020-12-30,2020-12-30,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2020-12-31,2020-12-31,1
Goldilocks / Expansion,2021-01-01,2021-01-01,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-01-04,2021-01-06,3
Reflation,2021-01-07,2021-01-08,2
Goldilocks / Expansion,2021-01-11,2021-01-11,1
Reflation,2021-01-12,2021-01-14,3
Goldilocks / Expansion,2021-01-15,2021-01-15,1
Reflation,2021-01-18,2021-03-01,31
Goldilocks / Expansion,2021-03-02,2021-03-02,1
Reflation,2021-03-03,2021-03-03,1
Neutral/Mixed Growth / Up Inflation,2021-03-04,2021-03-08,3
Reflation,2021-03-09,2021-03-15,5
Neutral/Mixed Growth / Up Inflation,2021-03-16,2021-03-16,1
Reflation,2021-03-17,2021-03-17,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-03-18,2021-03-18,1
Neutral/Mixed Growth / Up Inflation,2021-03-19,2021-03-22,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-03-23,2021-03-25,3
Neutral/Mixed Growth / Up Inflation,2021-03-26,2021-03-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-03-29,2021-03-31,3
Neutral/Mixed Growth / Up Inflation,2021-04-01,2021-04-01,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-04-02,2021-04-22,15
Goldilocks / Expansion,2021-04-23,2021-04-26,2
Reflation,2021-04-27,2021-04-29,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-04-30,2021-05-06,5
Goldilocks / Expansion,2021-05-07,2021-05-10,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-05-11,2021-05-25,11
Goldilocks / Expansion,2021-05-26,2021-05-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-05-27,2021-05-27,1
Goldilocks / Expansion,2021-05-28,2021-06-07,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-06-08,2021-06-14,5
Neutral/Mixed Growth / Up Inflation,2021-06-15,2021-06-15,1
Goldilocks / Expansion,2021-06-16,2021-06-16,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-06-17,2021-06-17,1
Reflation,2021-06-18,2021-06-18,1
Goldilocks / Expansion,2021-06-21,2021-06-21,1
Reflation,2021-06-22,2021-06-22,1
Goldilocks / Expansion,2021-06-23,2021-06-24,2
Reflation,2021-06-25,2021-06-28,2
Goldilocks / Expansion,2021-06-29,2021-06-30,2
Reflation,2021-07-01,2021-07-06,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-07-07,2021-07-07,1
Neutral/Mixed Growth / Up Inflation,2021-07-08,2021-07-09,2
Goldilocks / Expansion,2021-07-12,2021-07-12,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-07-13,2021-08-06,19
Goldilocks / Expansion,2021-08-09,2021-08-10,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-08-11,2021-10-13,46
Neutral/Mixed Growth / Up Inflation,2021-10-14,2021-10-26,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-10-27,2021-10-27,1
Neutral/Mixed Growth / Up Inflation,2021-10-28,2021-11-03,5
Reflation,2021-11-04,2021-11-08,3
Neutral/Mixed Growth / Up Inflation,2021-11-09,2021-11-10,2
Reflation,2021-11-11,2021-11-19,7
Goldilocks / Expansion,2021-11-22,2021-11-22,1
Reflation,2021-11-23,2021-11-23,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2021-11-24,2021-12-31,28
Goldilocks / Expansion,2022-01-03,2022-01-03,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-01-04,2022-01-20,13
Down Growth / Neutral/Mixed Inflation,2022-01-21,2022-01-21,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-01-24,2022-01-24,1
Down Growth / Neutral/Mixed Inflation,2022-01-25,2022-02-04,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-02-07,2022-02-10,4
Down Growth / Neutral/Mixed Inflation,2022-02-11,2022-02-14,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-02-15,2022-02-16,2
Down Growth / Neutral/Mixed Inflation,2022-02-17,2022-02-22,4
Stagflation-like,2022-02-23,2022-02-24,2
Neutral/Mixed Growth / Up Inflation,2022-02-25,2022-02-28,2
Stagflation-like,2022-03-01,2022-03-01,1
Neutral/Mixed Growth / Up Inflation,2022-03-02,2022-03-03,2
Stagflation-like,2022-03-04,2022-03-07,2
Stagflation-like + Stress Overlay,2022-03-08,2022-03-15,6
Neutral/Mixed Growth / Up Inflation + Stress Overlay,2022-03-16,2022-03-16,1
Neutral/Mixed Growth / Up Inflation,2022-03-17,2022-04-08,17
Stagflation-like,2022-04-11,2022-04-11,1
Neutral/Mixed Growth / Up Inflation,2022-04-12,2022-04-28,13
Stagflation-like,2022-04-29,2022-05-02,2
Neutral/Mixed Growth / Up Inflation,2022-05-03,2022-05-04,2
Stagflation-like,2022-05-05,2022-05-10,4
Stagflation-like + Stress Overlay,2022-05-11,2022-05-26,12
Neutral/Mixed Growth / Up Inflation + Stress Overlay,2022-05-27,2022-05-27,1
Down Growth / Neutral/Mixed Inflation,2022-05-30,2022-05-30,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-05-31,2022-06-03,4
Neutral/Mixed Growth / Up Inflation,2022-06-06,2022-06-09,4
Stagflation-like,2022-06-10,2022-06-14,3
Stagflation-like + Stress Overlay,2022-06-15,2022-06-15,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2022-06-16,2022-07-19,24
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2022-07-20,2022-07-25,4
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2022-07-26,2022-07-26,1
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2022-07-27,2022-07-28,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-07-29,2022-08-12,11
Goldilocks / Expansion,2022-08-15,2022-08-17,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-08-18,2022-08-18,1
Goldilocks / Expansion,2022-08-19,2022-08-19,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-08-22,2022-09-05,11
Neutral/Mixed Growth / Down Inflation,2022-09-06,2022-09-08,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2022-09-09,2023-03-03,126
Goldilocks / Expansion,2023-03-06,2023-03-06,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-03-07,2023-03-16,8
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2023-03-17,2023-03-30,10
Goldilocks / Expansion,2023-03-31,2023-03-31,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-04-03,2023-05-01,21
Down Growth / Neutral/Mixed Inflation,2023-05-02,2023-05-04,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-05-05,2023-05-11,5
Down Growth / Neutral/Mixed Inflation,2023-05-12,2023-05-12,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-05-15,2023-05-30,12
Neutral/Mixed Growth / Down Inflation,2023-05-31,2023-06-01,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-06-02,2023-06-06,3
Goldilocks / Expansion,2023-06-07,2023-06-23,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-06-26,2023-06-28,3
Goldilocks / Expansion,2023-06-29,2023-07-28,22
Reflation,2023-07-31,2023-08-01,2
Goldilocks / Expansion,2023-08-02,2023-08-15,10
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-08-16,2023-08-18,3
Goldilocks / Expansion,2023-08-21,2023-08-21,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-08-22,2023-08-25,4
Neutral/Mixed Growth / Up Inflation,2023-08-28,2023-08-28,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-08-29,2023-09-04,5
Neutral/Mixed Growth / Up Inflation,2023-09-05,2023-09-29,19
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-10-02,2023-10-25,18
Down Growth / Neutral/Mixed Inflation,2023-10-26,2023-10-27,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-10-30,2023-12-05,27
Neutral/Mixed Growth / Down Inflation,2023-12-06,2023-12-18,9
Goldilocks / Expansion,2023-12-19,2023-12-19,1
Neutral/Mixed Growth / Down Inflation,2023-12-20,2023-12-21,2
Goldilocks / Expansion,2023-12-22,2023-12-22,1
Neutral/Mixed Growth / Down Inflation,2023-12-25,2023-12-25,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2023-12-26,2023-12-28,3
Neutral/Mixed Growth / Down Inflation,2023-12-29,2023-12-29,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-01-01,2024-01-09,7
Neutral/Mixed Growth / Down Inflation,2024-01-10,2024-01-17,6
Goldilocks / Expansion,2024-01-18,2024-01-30,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-01-31,2024-02-01,2
Goldilocks / Expansion,2024-02-02,2024-02-16,11
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-02-19,2024-02-21,3
Goldilocks / Expansion,2024-02-22,2024-03-05,9
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-03-06,2024-03-06,1
Goldilocks / Expansion,2024-03-07,2024-03-07,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-03-08,2024-03-20,9
Goldilocks / Expansion,2024-03-21,2024-03-21,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-03-22,2024-03-28,5
Goldilocks / Expansion,2024-03-29,2024-04-01,2
Reflation,2024-04-02,2024-04-03,2
Neutral/Mixed Growth / Up Inflation,2024-04-04,2024-04-04,1
Reflation,2024-04-05,2024-04-11,5
Neutral/Mixed Growth / Up Inflation,2024-04-12,2024-04-17,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-04-18,2024-04-29,8
Neutral/Mixed Growth / Up Inflation,2024-04-30,2024-04-30,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-05-01,2024-08-01,67
Down Growth / Neutral/Mixed Inflation,2024-08-02,2024-08-05,2
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2024-08-06,2024-08-07,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2024-08-08,2024-08-08,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2024-08-09,2024-08-12,2
Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,2024-08-13,2024-08-15,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-08-16,2024-09-04,14
Down Growth / Neutral/Mixed Inflation,2024-09-05,2024-09-10,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-09-11,2024-09-11,1
Down Growth / Neutral/Mixed Inflation,2024-09-12,2024-09-12,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-09-13,2024-09-13,1
Down Growth / Neutral/Mixed Inflation,2024-09-16,2024-09-16,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-09-17,2024-10-29,31
Goldilocks / Expansion,2024-10-30,2024-11-14,12
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-11-15,2024-11-18,2
Goldilocks / Expansion,2024-11-19,2024-11-19,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-11-20,2024-11-21,2
Goldilocks / Expansion,2024-11-22,2024-11-26,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-11-27,2024-11-28,2
Goldilocks / Expansion,2024-11-29,2024-12-17,13
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-12-18,2024-12-20,3
Goldilocks / Expansion,2024-12-23,2024-12-27,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2024-12-30,2025-01-14,12
Neutral/Mixed Growth / Up Inflation,2025-01-15,2025-01-15,1
